Amherst		300	Belief - General; Belief - World; Belief - Values; Belief - Passion; Personality - Unique		Choice	1	1	“Rigorous reasoning is crucial in mathematics, and insight plays an important secondary role these days. In the natural sciences, I would say that the order of these two virtues is reversed. Rigor is, of course, very important. But the most important value is insight—insight into the workings of the world. It may be because there is another guarantor of correctness in the sciences, namely, the empirical evidence from observation and experiments.” Kannan Jagannathan, Professor of Physics, Amherst College
Amherst		300	Inspiration - Literature; Personality - Creativity; Personality - Unique - Personality - Passion		Choice	1	1	"""Literature is the best way to overcome death. My father, as I said, is an actor. He's the happiest man on earth when he's performing, but when the show is over, he's sad and troubled. I wish he could live in the eternal present, because in the theater everything remains in memories and photographs. Literature, on the other hand, allows you to live in the present and to remain in the pantheon of the future.  Literature is a way to say, I was here, this is what I thought, this is what I perceived. This is my signature, this is my name.""  - Ilan Stavans, Professor of Spanish, Amherst College, From ""The Writer in Exile: an interview with Ilan Stavans"" by Saideh Pakravan for the fall 1993 issue of The Literary Review"
Amherst		300	Community - Describe; Community - Contribute; Future - Goals; Personality - Passion; Personality - Creativity; Personality - Unique		Choice	1	1	" ""It seems to me incumbent upon this and other schools' graduates to recognize their responsibility to the public interest... unless the graduates of this college... are willing to put back into our society those talents, the broad sympathy, the understanding, the compassion... then obviously the presuppositions upon which our democracy are based are bound to be fallible.""  -John F. Kennedy, at the ground breaking for the Amherst College Frost Library, October 26, 1963"
Amherst		300	Belief - General; Belief - World; Belief - Values; Belief - Passion; Personality - Unique		Choice	1	1	"""Stereotyped beliefs have the power to become self-fulfilling prophesies for behavior.""  -Elizabeth Aries, Professor of Psychology, Amherst College, from her book Men and Women in Interaction, Reconsidering the Differences"
Amherst		300	Challenge - General; Challenge - Failure; Challenge - Risk; Personality - Unique; Experience - Accomplishment		Choice	1	1	"""Difficulty need not foreshadow despair or defeat. Rather achievement can be all the more satisfying because of obstacles surmounted.""  -Attributed to William Hastie, Amherst Class of 1925, first African-American to serve as a judge for the United States Court of Appeals"
Amherst		0			Choice	1	1	Option B: Please submit a graded paper from your junior or senior year that best represents your writing skills and analytical abilities. We are particularly interested in your ability to construct a tightly reasoned, persuasive argument that calls upon literary, sociological or historical evidence. You should NOT submit a laboratory report, journal entry, creative writing sample or in-class essay. 
Amherst		75	Experience - Research		Optional		1	If you have engaged in significant research in the natural sciences, mathematics, computer science, social sciences or humanities that was undertaken independently of your high school curriculum, please provide a brief description of the research project:
Amherst	350		Experience - Research		Optional		1	Where, when and under whose mentorship did you conduct this research? (Provide mentor’s name, title and institutional affiliation.)
Amherst	350		Experience - Research		Optional		1	If your research has been submitted to any national competition (e.g., Siemens, Intel) and/or accepted for professional publication, please provide additional details:
Brown University		150	Major - Major		Required		1	"Why are you drawn to the area(s) of study you indicated in our Member Section, earlier in this application? If you are ""undecided"" or not sure which Brown concentrations match your interests, consider describing more generally the academic topics or modes of thought that engage you currently. (150 word limit)"
Brown University		100	Community - Describe		Required		1	Tell us where you have lived - and for how long - since you were born; whether you've always lived in the same place, or perhaps in a variety of places. (100 word limit)
Brown University		150	Community - Describe; Community - Contribute		Required		1	We all exist within communities or groups of various sizes, origins, and purposes; pick one and tell us why it is important to you, and how it has shaped you. (150 word limit)
Brown University		200	Why Us - Why Us		Required		1	Why Brown? (200 word limit)
Brown University	250				Optional		1	Some schools offer students the opportunity to take national exams in areas such as math and language. These exams include, but are not limited to, AIME, AMC 10, Le Grand Concours, National Spanish Exam, National Latin Exams. If you have taken any of these exams (or any other subject-based national or international examinations), please inform us of the exams and scores you find most meaningful.
